iter	Passed	Remaining
0	164	163861
1	166	82879
2	167	55766
3	169	42198
4	171	34088
5	172	28578
6	173	24670
7	187	23247
8	188	20791
9	190	18828
10	191	17219
11	192	15876
12	194	14762
13	195	13802
14	197	12967
15	199	12279
16	201	11627
17	202	11048
18	203	10519
19	204	10040
20	206	9611
21	207	9219
22	208	8864
23	210	8541
24	211	8240
25	213	8007
26	215	7756
27	216	7515
28	217	7288
29	218	7077
30	220	6880
31	221	6703
32	223	6537
33	224	6378
34	225	6223
35	248	6656
36	266	6945
37	268	6795
38	269	6647
39	270	6503
40	275	6442
41	277	6335
42	279	6209
43	280	6088
44	281	5974
45	283	5873
46	284	5777
47	286	5680
48	289	5611
49	290	5526
50	292	5441
51	294	5361
52	295	5279
53	296	5201
54	298	5122
55	299	5047
56	300	4973
57	301	4902
58	303	4835
59	304	4768
60	305	4702
61	308	4668
62	309	4608
63	311	4548
64	312	4491
65	313	4435
66	314	4381
67	316	4331
68	317	4281
69	318	4231
70	319	4182
71	320	4134
72	324	4114
73	325	4069
74	326	4026
75	327	3983
76	328	3942
77	330	3901
78	331	3863
79	332	3825
80	333	3787
81	335	3752
82	335	3709
83	368	4015
84	372	4005
85	373	3967
86	374	3929
87	375	3891
88	376	3855
89	377	3820
90	379	3785
91	380	3752
92	381	3719
93	382	3689
94	384	3659
95	387	3651
96	394	3676
97	396	3652
98	399	3640
99	403	3634
100	405	3609
101	407	3585
102	408	3561
103	410	3536
104	471	4017
105	472	3985
106	473	3954
107	475	3923
108	476	3893
109	477	3864
110	479	3839
111	480	3811
112	482	3785
113	503	3910
114	504	3881
115	505	3853
116	506	3823
117	507	3795
118	509	3768
119	510	3743
120	511	3718
121	519	3741
122	521	3716
123	522	3690
124	523	3665
125	524	3641
126	525	3614
127	533	3637
128	536	3620
129	537	3597
130	538	3573
131	539	3550
132	541	3527
133	542	3506
134	544	3487
135	545	3466
136	547	3448
137	549	3429
138	550	3410
139	552	3391
140	553	3371
141	554	3348
142	555	3329
143	556	3310
144	558	3291
145	563	3297
146	564	3278
147	566	3258
148	573	3276
149	580	3287
150	582	3277
151	584	3258
152	585	3240
153	586	3221
154	587	3203
155	588	3185
156	591	3177
157	594	3170
158	597	3160
159	598	3142
160	599	3125
161	604	3127
162	608	3123
163	609	3107
164	610	3090
165	613	3082
166	614	3066
167	615	3049
168	621	3054
169	625	3054
170	626	3037
171	627	3022
172	628	3006
173	630	2991
174	631	2977
175	637	2984
176	640	2976
177	641	2962
178	643	2949
179	644	2936
180	646	2925
181	653	2936
182	655	2925
183	657	2913
184	658	2901
185	660	2890
186	666	2896
187	670	2895
188	672	2883
189	673	2871
190	674	2858
191	675	2843
192	676	2829
193	682	2837
194	684	2827
195	686	2814
196	687	2800
197	688	2788
198	689	2776
199	690	2762
200	693	2755
201	696	2752
202	697	2739
203	698	2725
204	699	2713
205	700	2700
206	701	2688
207	702	2675
208	703	2663
209	704	2651
210	705	2639
211	709	2637
212	710	2626
213	711	2614
214	712	2602
215	714	2592
216	715	2582
217	716	2570
218	717	2559
219	719	2549
220	720	2538
221	723	2536
222	725	2526
223	726	2515
224	727	2504
225	728	2495
226	730	2488
227	731	2478
228	732	2467
229	734	2457
230	735	2447
231	738	2445
232	740	2436
233	741	2427
234	742	2418
235	744	2409
236	745	2401
237	747	2391
238	748	2382
239	749	2373
240	750	2363
241	753	2360
242	754	2351
243	755	2341
244	756	2332
245	757	2323
246	758	2313
247	759	2304
248	761	2295
249	762	2286
250	763	2277
251	764	2268
252	765	2260
253	768	2256
254	769	2248
255	770	2240
256	772	2233
257	773	2225
258	774	2217
259	775	2208
260	777	2200
261	778	2191
262	779	2183
263	780	2175
264	783	2172
265	784	2163
266	785	2155
267	789	2157
268	790	2149
269	791	2140
270	792	2132
271	793	2124
272	795	2117
273	796	2109
274	797	2102
275	798	2094
276	799	2087
277	800	2079
278	801	2071
279	802	2064
280	804	2057
281	805	2049
282	806	2042
283	807	2034
284	808	2027
285	809	2020
286	812	2019
287	814	2013
288	815	2006
289	816	1999
290	817	1991
291	818	1984
292	819	1977
293	820	1970
294	821	1963
295	822	1957
296	823	1950
297	827	1949
298	828	1942
299	829	1935
300	830	1928
301	831	1922
302	832	1915
303	833	1908
304	834	1902
305	835	1895
306	836	1889
307	838	1883
308	839	1877
309	841	1871
310	842	1865
311	843	1859
312	844	1853
313	845	1847
314	846	1841
315	848	1835
316	849	1829
317	850	1823
318	851	1817
319	854	1814
320	855	1809
321	856	1803
322	857	1797
323	858	1791
324	860	1786
325	866	1791
326	867	1786
327	869	1780
328	870	1774
329	871	1768
330	872	1763
331	873	1757
332	874	1752
333	875	1746
334	877	1741
335	878	1736
336	879	1730
337	880	1724
338	883	1722
339	884	1717
340	886	1712
341	887	1707
342	888	1702
343	889	1696
344	891	1691
345	892	1686
346	893	1681
347	894	1675
348	895	1670
349	898	1667
350	899	1663
351	900	1658
352	901	1652
353	902	1647
354	903	1642
355	905	1637
356	906	1633
357	909	1631
358	910	1626
359	915	1627
360	923	1635
361	925	1631
362	929	1631
363	931	1627
364	932	1622
365	933	1617
366	935	1613
367	937	1609
368	938	1605
369	940	1600
370	943	1599
371	945	1595
372	946	1591
373	951	1592
374	952	1587
375	953	1582
376	954	1577
377	955	1572
378	956	1568
379	958	1564
380	960	1560
381	961	1556
382	962	1551
383	963	1546
384	964	1541
385	965	1536
386	966	1531
387	967	1526
388	968	1521
389	969	1517
390	970	1512
391	971	1507
392	975	1506
393	976	1501
394	977	1496
395	978	1492
396	979	1487
397	980	1482
398	981	1477
399	982	1473
400	983	1468
401	984	1464
402	985	1459
403	986	1455
404	987	1450
405	988	1446
406	990	1442
407	991	1437
408	991	1433
409	993	1429
410	994	1424
411	995	1420
412	996	1416
413	997	1411
414	998	1407
415	999	1403
416	1000	1398
417	1006	1401
418	1007	1397
419	1009	1394
420	1011	1390
421	1012	1386
422	1012	1381
423	1013	1377
424	1021	1381
425	1026	1383
426	1028	1379
427	1029	1375
428	1030	1371
429	1032	1368
430	1036	1368
431	1037	1364
432	1038	1360
433	1039	1356
434	1041	1352
435	1042	1348
436	1043	1344
437	1049	1346
438	1053	1345
439	1054	1341
440	1055	1337
441	1057	1335
442	1058	1331
443	1064	1333
444	1067	1331
445	1068	1327
446	1069	1323
447	1071	1320
448	1073	1317
449	1077	1317
450	1079	1314
451	1080	1310
452	1082	1307
453	1084	1303
454	1085	1300
455	1087	1297
456	1088	1293
457	1090	1290
458	1091	1286
459	1093	1283
460	1094	1279
461	1096	1276
462	1099	1275
463	1107	1279
464	1108	1275
465	1111	1273
466	1112	1270
467	1114	1266
468	1115	1263
469	1117	1259
470	1119	1257
471	1121	1254
472	1123	1251
473	1124	1248
474	1126	1244
475	1127	1241
476	1129	1237
477	1130	1234
478	1132	1231
479	1133	1228
480	1134	1224
481	1136	1221
482	1138	1219
483	1140	1216
484	1142	1212
485	1143	1209
486	1145	1206
487	1147	1204
488	1148	1200
489	1150	1197
490	1151	1193
491	1153	1191
492	1155	1188
493	1159	1188
494	1161	1184
495	1162	1181
496	1166	1180
497	1167	1177
498	1173	1178
499	1174	1174
500	1176	1171
501	1178	1168
502	1180	1165
503	1181	1162
504	1182	1159
505	1183	1155
506	1185	1152
507	1186	1148
508	1187	1145
509	1188	1141
510	1189	1138
511	1191	1135
512	1193	1133
513	1195	1130
514	1196	1126
515	1200	1125
516	1201	1122
517	1202	1118
518	1203	1115
519	1204	1111
520	1205	1108
521	1209	1107
522	1210	1104
523	1212	1101
524	1213	1098
525	1218	1097
526	1219	1094
527	1220	1091
528	1221	1087
529	1223	1084
530	1225	1082
531	1227	1079
532	1228	1076
533	1229	1072
534	1230	1069
535	1231	1066
536	1233	1063
537	1234	1060
538	1236	1057
539	1237	1054
540	1239	1051
541	1240	1048
542	1241	1045
543	1242	1041
544	1244	1038
545	1246	1036
546	1247	1033
547	1249	1030
548	1250	1027
549	1252	1024
550	1255	1022
551	1256	1019
552	1257	1016
553	1259	1013
554	1260	1010
555	1261	1007
556	1263	1004
557	1264	1001
558	1265	998
559	1266	995
560	1269	993
561	1271	990
562	1273	988
563	1274	985
564	1276	982
565	1278	980
566	1279	977
567	1281	974
568	1285	973
569	1286	970
570	1288	967
571	1289	965
572	1294	964
573	1296	961
574	1297	959
575	1299	956
576	1300	953
577	1302	950
578	1303	947
579	1305	945
580	1306	942
581	1307	939
582	1308	936
583	1310	933
584	1311	930
585	1312	927
586	1313	924
587	1314	921
588	1316	918
589	1317	915
590	1318	912
591	1319	909
592	1321	906
593	1322	903
594	1323	900
